"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
506103,"occ",,,51329,"Balaenopteridae indet.","family",42977,"","Balaenopteridae","family",42977,"Middle Miocene","",15.97,11.608,12558
1190911,"occ",,,153810,"""Megaptera"" hubachi","species",68703,"invalid subgroup of","Balaenopteridae","family",42977,"Zanclean","",5.333,3.6,49837
813825,"occ",,,45665,"Lophocephalus parki","species",63214,"recombined as","Mauicetus parki","species",63214,"Duntroonian","",27.3,25.2,12036
1235473,"occ",,,162641,"Balaena mysticetus","species",64683,"","Balaena mysticetus","species",64683,"Holocene","",0.0117,0,52955
709858,"occ",,,76048,"Balaenopteridae indet.","family",42977,"","Balaenopteridae","family",42977,"Pleistocene","",2.588,0.0117,12148
1380885,"occ",34065,,189024,"aff. Mauicetus sp.","genus",42974,"","Mauicetus","genus",42974,"Aquitanian","",23.03,20.44,61997
709839,"occ",,,76041,"Physeteridae indet.","family",42967,"","Physeteridae","family",42967,"Langhian","",15.97,13.82,12148
467206,"occ",,,46369,"Balaenoptera floridana","species",68451,"invalid subgroup of","Mysticeti","suborder",42971,"Zanclean","",5.333,3.6,12358
787142,"occ",,,18506,"Phoca n. sp. debilis","species",68316,"nomen dubium","Odontoceti","suborder",42937,"Miocene","",23.03,5.333,15080
1372049,"occ",,,79793,"Parietobalaena palmeri","species",62938,"","Parietobalaena palmeri","species",62938,"Langhian","",15.97,13.82,62831
1266118,"occ",,,168217,"Globicephala macrorhynchus","species",69995,"","Globicephala macrorhynchus","species",69994,"Holocene","",0.0117,0,55082
869815,"occ",,,96462,"Mesocetus laxatus","species",64458,"recombined as","Parietobalaena laxata","species",64458,"Langhian","Serravallian",15.97,11.62,12641
790134,"occ",,,47080,"Champsodelphis n. sp. dubius","species",69730,"nomen dubium","Odontoceti","suborder",42937,"Sarmatian","",12.7,11.608,11981
841728,"occ",,,93327,"Squalodon grateloupii","species",161111,"","Squalodon grateloupii","species",63728,"Miocene","",23.03,5.333,31484
557353,"occ",,,57733,"Megapteropsis robusta","species",63976,"nomen dubium","Balaenopteridae","family",42977,"Tortonian","",11.62,7.246,12761
1289477,"occ",,,172172,"Cetacea indet.","unranked clade",36652,"","Cetacea","unranked clade",36652,"Tortonian","",11.62,7.246,55908
709838,"occ",,,76041,"Kentriodontidae indet.","family",42938,"","Kentriodontidae","family",42938,"Langhian","",15.97,13.82,12148
1266062,"occ",,,168161,"Peponocephala electra","species",63581,"","Peponocephala electra","species",63580,"Holocene","",0.0117,0,25906
866839,"occ",,,96117,"Delphinapterus leucas","species",65078,"","Delphinapterus leucas","species",64545,"Late Pleistocene","",0.126,0.0117,32630
463726,"occ",,,45779,"Patriocetus ehrlichi","species",63237,"recombined as","Patriocetus ehrlichii","species",68320,"Chattian","",28.1,23.03,12143
770687,"occ",,,82528,"Delphinapterus leucas","species",65078,"","Delphinapterus leucas","species",64545,"Late Pleistocene","",0.126,0.0117,27789
899253,"occ",,,100134,"Balaenoptera sp.","genus",36678,"","Balaenoptera","genus",36678,"Middle Miocene","Late Pliocene",15.97,2.588,34357
798703,"occ",,,86876,"Delphinus n. sp. gangetica","species",63563,"recombined as","Platanista gangetica","species",63562,"Holocene","",0.0117,0,12161
391973,"occ",31076,,37602,"Chaeomysticeti indet.","unranked clade",53254,"","Chaeomysticeti","unranked clade",53254,"Chattian","",28.1,23.03,55050
709853,"occ",,,76045,"Mysticeti indet.","suborder",42971,"","Mysticeti","suborder",42971,"Chattian","",28.1,23.03,12148
492116,"occ",,,47428,"Tursiops sp.","genus",36865,"","Tursiops","genus",36865,"Piacenzian","",3.6,2.588,26039
150827,"occ",,,13103,"Basilosaurus isis","species",53287,"","Basilosaurus isis","species",62984,"Priabonian","",38,33.9,6026
545349,"occ",19626,,45777,"Squalodontoidea indet.","superfamily",63414,"","Squalodontoidea","superfamily",63414,"Rupelian","",33.9,28.1,12126
1266816,"occ",,,168353,"Ziphius cavirostris","species",64703,"","Ziphius cavirostris","species",64703,"Holocene","",0.0117,0,55079
566055,"occ",,,59273,"Rorqualus n. sp. cortesii","species",68441,"invalid subgroup of","Mysticeti","suborder",42971,"Zanclean","Piacenzian",5.333,2.588,16960
486174,"occ",,,48656,"Schizodelphis sulcatus","species",63690,"","Schizodelphis sulcatus","species",63687,"Serravallian","",13.82,11.62,13196
1310811,"occ",,,175943,"Delphinapterus leucas","species",65078,"","Delphinapterus leucas","species",64545,"Holocene","",0.0117,0,57684
709189,"occ",,,55643,"Mysticeti indet.","suborder",42971,"","Mysticeti","suborder",42971,"Zanclean","",5.333,3.6,12148
622624,"occ",,,67026,"Heterocetus brevifrons","species",64456,"","Heterocetus brevifrons","species",70452,"Tortonian","",11.62,7.246,19106
1266077,"occ",,,168178,"Pseudorca crassidens","species",64544,"","Pseudorca crassidens","species",64543,"Holocene","",0.0117,0,55081
489930,"occ",,,49398,"Neosqualodon ? gastaldii","species",68326,"","Neosqualodon gastaldii","species",68324,"Late Miocene","",11.608,5.333,13196
